id,part,problem,rest,cylinders,engine
104506,,NEEDS,TO BE CLEANED,,
104507,INTAKE GASKET,LEAKING,,4,R/H
104508,ENGINE BAFFLE,CRACKED,AT OIL COOLER,,L/H
104509,ENGINE BAFFLE,CRACKED,AT OIL COOLER,,R/H
104510,,,,,
104511,INTAKE,LEAKING,,1,
104512,FWD BAFFLE,CRACKED,,1,
104513,SIDE BAFFLE SEAL,LOOSE,,2,
104514,INTAKE GASKET,LEAKING,,4,
104515,INTAKE,LEAKING,,2 1,
104516,INTAKE,LEAKS,,4,
104517,,,,,
104518,INTAKE GASKET,LEAKING,,4,
104519,INTAKE GASKET,LEAKING,,3 1,
104520,SCREW FOR BAFFLE BEHIND OIL DIPSTICK TUBE,LOOSE,,,
104521,FWD BAFFLE,CRACKED,,1,
104522,INTAKE GASKET,LEAKING,,3,R/H
104523,INTAKE GASKET,LEAKING,,4 3,L/H
104524,INTAKE,LEAKING,,4 3 2 1,
104525,INTAKE GASKET,LEAKING,,2,
104526,INTAKE,LEAKING,,3 2,R/H
104527,ROCKER GASKET,LEAKS,,3,R/H
104528,,,,,
104529,INTAKE TUBE GASKET,LEAKING,,4 3 2,L/H
104530,INTAKE TUBE GASKET,LEAKING,,3 2,R/H
104531,ROCKER COVER SCREW,MISSING,,,
104532,,MISSING,BAFFLE,3,
104533,SIDE BAFFLE,CRACKED,,3 1,
104534,,CRACKED,,4 2,
104535,,,,,
104536,ENGINE BAFFLING FELT SEAL,DAMAGED,& ABRASION BUFFER PAD,4 3 2 1,
104537,ROCKER COVER,LEAKING,,4 2,
104538,ROCKER GASKET,LEAKING,,4 3 2,
104539,INTAKE,LEAKING,,3 2,L/H
104540,ROCKER COVER,LEAKING,,1,L/H
104541,INTAKE,LEAKING,,4 3,R/H
104542,,,,,
104543,,,,,
104544,,,,,
104545,,,,,
104546,,NEED,ED,,
104547,INTAKE GASKET,LEAKING,,3,
104548,INTAKE,LEAKING,,1,
104549,ROCKER GASKET,LEAKING,,3,
104550,INTAKE,LEAKING,,2,
104551,INTAKE GASKET,LEAKING,,4 3 2,L/H
104552,INTAKE GASKET,LEAKING,,4 3 2 1,R/H
104553,,,,,
104554,,,,,
104555,INTAKE,LEAKING,,2,
104556,ROCKER COVER,LEAKING,,3 1,
104557,INTAKE,LEAKING,,2,
104558,ROCKER COVER,LEAKS,,4,
104559,INTAKE GASKET,LEAKING,,2,
104560,SIDE BAFFLE SEAL,LOOSE,,2,
104561,INTAKE,LEAKING,,4,
104562,INTAKE GASKET,LEAKING,,3,R/H
104563,ROCKER COVER GASKET,LEAKING,,1,R/H
104564,INTAKE,LEAKING,LEFT ENGINE,4 3 2,
104565,BAFFLE TIE ROD,BROKEN,,2,
104566,EXHAUST VALVE,FAILED,"(EX CLEARANCE .033"")",1,
104567,EXHAUST VALVE,FAILED,"(EX CLEARNACE .035"")",2,
104568,EXHAUST VALVE,FAILED,"(EX CLEARNACE .034"")",3,
104569,EXHAUST VALVE,FAILED,"(EX CLEARNACE .035"")",2,
104570,EXHAUST VALVE,FAILED,"(EX CLEARNACE .033"")",4,
104571,EXHAUST VALVE,FAILED,"(EX CLEARANCE .033"")",1,
104572,EXHAUST VALVE,FAILED,"(EX CLEARANCE .033"")",1,
104573,EXHAUST VALVE,FAILED,"(EX CLEARNACE .035"")",2,
104574,EXHAUST VALVE,FAILED,"(EX CLEARNACE .034"")",3,
104575,EXHAUST VALVE,FAILED,"(EX CLEARNACE .033"")",4,
104576,INTAKE,LEAKING,,4,
104577,ROCKER GASKET,LEAKING,,4,
104578,INTAKE GASKET,LEAKING,,4,
104579,ROCKER COVER,LEAKING,,3,
104580,INTAKE GASKET,LEAKING,,2,
104581,INTAKE TUBE GASKET,LEAKING,,2,
104582,LOWER INTAKE CLAMP,LOOSE,,2,
104583,INTAKE,LEAKING,,4,
104584,SCREW,MISSING,BACK OF #3 BAFFLE,,
104585,,,,,
104586,BAFFLE PLUG,NEEDS,TO BE REPLACED,,R/H
104587,INTAKE TUBE GASKET,LEAKING,,3,
104588,INTAKE,LEAKING,,2,
104589,ENGINE,DIRTY,,,
104590,,,,,
104591,,,,,
104592,REAR BAFFLE MOUNTING BRACKET,CRACKED,,3,
104593,ROCKER COVER,LEAKING,,3 2,
104594,INTAKE GASKET,LEAKING,,4 3,L/H
104595,,,,,
104596,INTAKE GASKET,LEAKING,,1,
104597,SNIFFLER VALVE,DIRTY,,,
104598,,,,,
104599,,,,,
104600,BAFFLE SEAL,NEEDS,TO BE SECURED,1,
104601,INTAKE GASKET,LEAKING,,1,
104602,INTAKE GASKET,LEAKING,,4,
104603,,,,,
104604,,,,,
104605,,,,,
104606,INTAKE TUBE GASKET,LEAKING,,2,
104607,INTAKE GASKET,LEAKING,,2,
104608,ROCKER GASKET,LEAKING,,2,
104609,FWD ENGINE BAFFLE BOLT,NEEDS,TO BE SAFETIED,,R/H
104610,,,,,
104611,,,,,
104612,,,,,
104613,,,,,
104614,,,,,
104615,INTAKE,LEAKING,,2,
104616,ROCKER COVER,LEAKING,,1,
104617,INTAKE GASKET,LEAKING,,3 2,
104618,INTAKE GASKET,LEAKING,,2,
104619,PISTON PIN,DAMAGED,DURING REMOVAL,4 3,
104620,,,,,
104621,,,,,
104622,,,,,
104623,,,,,
104624,,,,,
104625,,,,,
104626,,,,,
104627,,,,,
104628,INTAKE,LEAKING,,3 2,
104629,INTAKE,LEAKING,,4,
104630,,COMPRESSION,NO COMPRESSION,3,R/H
104631,,COMPRESSION,NO COMPRESSION,3,R/H
104632,INTAKE GASKET,LEAKING,(R/H ENG),4 2 1,
104633,,COMPRESSION,NO COMPRESSION,3,R/H
104634,,COMPRESSION,NO COMPRESSION,3,R/H
104635,,,,,
104636,,,,,
104637,,,,,
104638,,,,,
104639,INTAKE,LEAKING,,3 2,L/H
104640,INTAKE TUBE,CRACKED,,4,R/H
104641,INTAKE,LEAKING,,4 3 2,R/H
104642,ENGINE BAFFLE PLUG,WORN,,,
104643,INTAKE,LEAKING,,4 2,
104644,INTAKE GASKET,LEAKING,,4,
104645,ROCKER COVER GASKET,LEAKING,,2,
104646,ROCKER COVER,LEAKING,,4 3 2 1,
104647,,,,,
104648,,,,,
104649,,,,,
104650,INTAKE GASKET,LEAKING,,4 2,
104651,,LOOSE,,,R/H REAR
104652,BOLT,LEAKING,TOP OF CASE HALVES,,
104653,BOLT,LEAKING,TOP OF CASE HALVES,,
104654,INTAKE,LEAKING,,4 3,R/H
104655,INTAKE,LEAKING,,4 3 2,L/H
104656,INTAKE GASKET,LEAKING,,4 2,
104657,ROCKER COVER GASKET,LEAKING,,4,
104658,,,,,
104659,ROCKER COVER GASKET,LEAKING,,3,
104660,UPPER OIL LINE TO OIL COOLER ADEL CLAMP,BROKEN,,,
104661,,,,,
104662,SNIFFLER VALVE,NEED,TO BE CLEANED,,
104663,INTAKE GASKET,LEAKING,,4 2,
104664,,NEEDS,TO BE FIXED,,R/H
104665,INTAKE,LEAKS,,4,R/H
104666,NLG DOWN LOCK AFT TRUNNION BOLT,LOOSE,,,R/H
104667,INTAKE,LEAKING,,4 3 2,L/H
104668,SNIFFLER VALVE,DIRTY,,,
104669,INTAKE,LEAKING,,3,R/H
104670,INTAKE,LEAKING,,4 3 2,L/H
104671,,,,,
104672,FRONT BAFFLE SEAL,TORN,,,
104673,,FAILED,TIMES AFTER COMING TO A STOP AFTER LANDING,3,L/H
104674,,WORN,,,R/H REAR
104675,INTAKE GASKET,LEAKING,,3,
104676,INTAKE,LEAKS,,4,
104677,,,,,
104678,,,,,
104679,INTAKE,LEAKING,,4 2,L/H
104680,,,,,
104681,,OIL LEAK,LIFT BOLT,,R/H
104682,,NEEDS,TO BE RESET,,
104683,,,,,
104684,INTAKE,LEAKING,,4,
104685,BOTH BAFFLE PLUG,DAMAGED,,,
104686,INTAKE GASKET,LEAKING,,3,
104687,INTAKE TUBE GASKET,LEAKING,,3 2 1,
104688,,WORN,AT INTAKE,,
104689,EXHAUST VALVE,FAILED,,1,
104690,EXHAUST VALVE,FAILED,,4,
104691,EXHAUST VALVE,FAILED,,1,
104692,EXHAUST VALVE,FAILED,,1,
104693,EXHAUST VALVE,FAILED,,4,
104694,EXHAUST VALVE,FAILED,,4,
104695,INTAKE,LEAKING,,3 2,
104696,CYL,FAILED,,4,
104697,CYL,FAILED,,4,
104698,INTAKE,LEAKS,,3,L/H
104699,,COMPRESSION,LOW COMPRESSION,2,L/H
104700,,COMPRESSION,LOW COMPRESSION,2,L/H
104701,,COMPRESSION,LOW COMPRESSION,2,L/H
104702,,COMPRESSION,LOW COMPRESSION,2,L/H
104703,,COMPRESSION,LOW COMPRESSION,2,L/H
104704,,COMPRESSION,LOW COMPRESSION,2,L/H
104705,INTAKE,LEAKING,,2,
104706,INTAKE GASKET,LEAKING,,4 3 2,
104707,SCREW FOR ENG BAFFLE BEHIND OIL DIPSTICK TUBE,LOOSE,,,
104708,INTAKE,LEAKING,,2,L/H
104709,INTAKE,LEAKING,,4 3,R/H
104710,BAFFLE,MISSING,SCREW,2,
104711,INTAKE GASKET,LEAKING,,4 3,
104712,CYL,NEEDS,TO BE CHANGED (FAILED ),4,
104713,CYL,NEEDS,TO BE CHANGED (FAILED ),3,
104714,,,,,
104715,,,,,
104716,,,,,
104717,CYL,NEEDS,TO BE CHANGED (FAILED ),2,
104718,CYL,NEEDS,TO BE CHANGED (FAILED ),4,
104719,CYL,NEEDS,TO BE CHANGED (FAILED ),1,
104720,CYL,NEEDS,TO BE CHANGED (FAILED ),2,
104721,CYL,NEEDS,TO BE CHANGED (FAILED ),3,
104722,CYL,NEEDS,TO BE CHANGED (FAILED ),4,
104723,CYL,NEEDS,TO BE CHANGED (FAILED ),1,
104724,CYL,NEEDS,TO BE CHANGED (FAILED ),1,
104725,CYL,NEEDS,TO BE CHANGED (FAILED ),2,
104726,CYL,NEEDS,TO BE CHANGED (FAILED ),3,
104727,CYL,NEEDS,TO BE CHANGED (FAILED ),3,
104728,CYL,NEEDS,TO BE CHANGED (FAILED ),4,
104729,,,,,
104730,FWD BAFFLE SEAL,WORN,BY ENG INTAKE,,
104731,,OIL LEAK,PILOT SIDE OF ENGINE,,
104732,,BROKEN,,3 1,
104733,INTAKE GASKET,LEAKING,,4,
104734,INTAKE GASKET,LEAKING,,3,
104735,,BROKEN,,,R/H
104736,AFT BAFFLE ATTACH FITTING,CRACKED,,3,
104737,,NEEDS,TO BE CLEANED,,
104738,,CRACKED,,,L/H
104739,BAFFLE,CRACKED,,,L/H
104740,INTAKE TUBE,NEEDS,TO BE REPLACED,1,
104741,INTAKE TUBE,NEEDS,TO BE REPLACED,3,
104742,,CRACKED,,,R/H
104743,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104744,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104745,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104746,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104747,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104748,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104749,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104750,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104751,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104752,ENGINE,NEEDS,TO BE REMOVED FOR METAL FOUND IN OIL,,
104753,,,,,
104754,,,,,
104755,,,,,
104756,INTAKE GASKET,LEAKING,,1,
104757,INTAKE,LEAKING,,4 3 2,L/H
104758,INTAKE,LEAKING,,4 3 2 1,R/H
104759,INTAKE GASKET,LEAKING,,3,
104760,,,,,
104761,INTAKE GASKET,LEAKING,,3 1,
104762,INTAKE GASKET,LEAKING,,3 2,
104763,FWD ENG SEAL,NEEDS,RIVET,,L/H
104764,INTAKE GASKET,LEAKING,,4,
104765,FWD BLACK BAFFLE SEAL,LOOSE,LWR SIDE,,R/H
104766,INTAKE TUBE GASKET,LEAKING,,2,
104767,INTAKE,LEAKING,,4,
104768,,COMPRESSION,COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST,4,
104769,,COMPRESSION,COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST,4,
104770,,COMPRESSION,COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST,4,
104771,,COMPRESSION,COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST,4,
104772,,,,,
104773,,,,,
104774,INTAKE GASKET,LEAKING,,4 2,
104775,SIDE BAFFLE,MISSING,BOLT,2,
104776,ROCKER GASKET,LEAKING,,3,
104777,,,,,
104778,,,,,
104779,,,,,
104780,,,,,
104781,INTAKE TUBE GASKET,LEAKING,,3,
104782,,,,,
104783,INTAKE,LEAKING,,3,R/H
104784,BLACK SEAL FOR FWD BAFFLE,NEEDS,RTV,,
104785,,,,,
104786,INTAKE,LEAK,,3 1,
104787,INTAKE GASKET,LEAKING,,2 1,
104788,ROCKER COVER GASKET,LEAKING,,2,
104789,ROCKER COVER,LEAKING,,2,
104790,,,,,
104791,INTAKE,LEAKING,,4 3,R/H
104792,INTAKE GASKET,LEAKING,,4 3,L/H
104793,,,,,
104794,,,,,
104795,,DAMAGED,,4,
104796,,,,,
104797,INTAKE GASKET,LEAKING,,2,
104798,INTAKE GASKET,LEAKING,,3 1,
104799,ROCKER COVER GASKET,LEAKING,,4 3,
104800,,LOOSE,BAFFLE SECTION,1,
104801,,,,,
104802,,,,,
104803,INTAKE GASKET,LEAKING,,2,
104804,INTAKE GASKET,LEAKING,,4,L/H
104805,ROCKER COVER GASKET,LEAKING,,2,L/H
104806,INTAKE GASKET,LEAKING,,4 3 2,L/H
104807,FWD BAFFLE SEAL,NEEDS,TO BE SECURED,1,L/H
104808,INTAKE,LEAKING,,4,
104809,ROCKER COVER,LEAKING,,1,
104810,INTAKE GASKET,LEAKING,,2,
104811,CYL,COMPRESSION,COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA,2,L/H
104812,CYL,COMPRESSION,COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA,2,L/H
104813,INTAKE,LEAKING,,3,R/H
104814,INTAKE,LEAKING,,4 3 2,L/H
104815,BRACKET SUPPORT FOR ENG OIL COOLER BAFFLE,CRACKED,,,
104816,,,,,
104817,AFT BAFFLE,CRACKED,,4,
104818,SIIDE OF ENGINE CASE PLUG,LEAKING,OIL,,L/H
104819,SIIDE OF ENGINE CASE PLUG,LEAKING,OIL,,L/H
104820,INTAKE GASKET,LEAKING,,2,
104821,INTAKE,LEAKING,,2,
104822,,,,,
104823,,,,,
104824,INTAKE GASKET,LEAKING,,4 2,
104825,,,,,
104826,,,,,
104827,,,,,
104828,INTAKE GASKET,LEAKING,,4 3,R/H
104829,,,,,
104830,FWD BAFFLE PLUG,MISSING,,3,
104831,,,,,
104832,ROCKER COVER,LEAKING,,3,L/H
104833,ROCKER COVER,LEAKING,,3,R/H
104834,,,,,
104835,,,,,
104836,INTAKE,LEAKING,,4,
104837,BAFFLE SPRING,BROKEN,BAFFLE CHAFING ON #3 OIL RETURN LI,,R/H
104838,INTAKE GASKET,LEAKING,,2 1,
104839,INTAKE GASKET,LEAKING,,4,R/H
104840,INTAKE GASKET,LEAKING,,2 1,L/H
104841,INTAKE,LEAKING,,4 1,
104842,,,,,
104843,,,,,
104844,,,,,
104845,,,,,
104846,ROCKER COVER,LEAKING,,4 3,
104847,SCREW,MISSING,BAFFLE & STAND OFF,2,
104848,OIL COOLER LOWER FITTING,LOOSE,,,
104849,FWD BAFFLE SEAL,LOOSE,,,R/H
104850,OIL COOLER LOWER FITTING,LOOSE,,,
104851,INTAKE GASKET,LEAKING,,2,
104852,,NEEDS,TO BE REPOSITIONED,,
104853,,NEEDS,TO BE REPOSITIONED,,
104854,,,,,
104855,INTAKE,LEAKING,,4,
104856,,,,,
104857,,,,,
104858,INTAKE GASKET,LEAKING,,4 2,
104859,,NEEDS,RTV FOR WORN SPOTS,,
104860,,,,,
104861,,,,,
104862,,NEEDS,REPAIR,,
104863,INTAKE,LEAKS,,1,
104864,,,,,
104865,FRONT SEAL,LOOSE,& HAS WORN SPOTS (BAFFLE SEAL),,
104866,INTAKE GASKET,LEAKING,,4 3,
104867,BAFFLE BRACKET,CRACKED,,3,
104868,,COMPRESSION,LOW COMPRESSION (58/80),2,
104869,SCREW,MISSING,FROM R/H AFT BAFFLE,,
104870,INTAKE GASKET,LEAKING,,3,
104871,INTAKE,LEAKING,,4 3,
104872,,WORN,THROUGH & CRACKED,,
104873,ROCKER COVER GASKET,LEAKING,,2,
104874,INTAKE,LEAKING,,2,
104875,INTAKE GASKET,LEAKING,,3,
104876,SCREW,MISSING,BAFFLE SECTION,1,
104877,ROCKER GASKET,LEAKING,,3,
104878,,,,,
104879,,,,,
104880,,NEEDS,TO BE INSP. REMOVE FO,,L/H
104881,,NEEDS,TO BE REPLACED,,
104882,INTAKE GASKET,LEAKING,,4 3,L/H
104883,,TORN,,,
104884,INTAKE GASKET,LEAKING,,4,
104885,INTAKE GASKET,LEAKING,,4 2,
104886,,,,,
104887,INTAKE,LEAKING,,4 2,
104888,,COMPRESSION,LOW COMPRESSION,3,
104889,BAFFLE PLUG,WORN,,,
104890,,NEEDS,DOUBLER,,R/H
104891,OIL DRAIN LINE CLAMP,LOOSE,,4,
104892,INTAKE GASKET,LEAKING,,2,
104893,CYL,COMPRESSION,COMPRESSION 18/80,3,
104894,CYL,COMPRESSION,COMPRESSION 18/80,3,
104895,CYL,COMPRESSION,COMPRESSION 18/80,3,
104896,,,,,
104897,BAFFLE ROD,LOOSE,,3 1,L/H
104898,BAFFLE SCREW,LOOSE,,3,
104899,LEFT BAFFLE,LOOSE,(#2 CYL BAFFLE SEAL),,
104900,INTAKE,LEAKING,,3,
104901,INTAKE GASKET,LEAKING,,4 2,R/H
104902,INTAKE GASKET,LEAKING,,3,
104903,BAFFLE PLUG,BROKEN,,,
104904,RIGHT ENGINE BAFFLE SEAL,LOOSE,BOTTOM CORNER,,
104905,,BROKEN,"LOWER COWL O/B, NEAR FWD LATCH/PIN HOLE",,L/H
104906,ROCKER COVER GASKET,LEAKING,,3 2,
104907,,,,,
104908,,,,,
104909,,,,,
104910,,,,,
104911,AFT BAFFLE SCREW,LOOSE,,3,
104912,,,,,
104913,ROCKER COVER,LEAKING,,4 2,
104914,,,,,
104915,INTAKE GASKET,LEAKING,,2,
104916,INTAKE,LEAKING,,2,
104917,ROCKER COVER GASKET,LEAKING,,4 2,
104918,ROCKER COVER GASKET,LEAKING,,4 2,
104919,INTAKE GASKET,LEAKING,,3 2,
104920,INTAKE GASKET,LEAKING,,3,R/H
104921,INTAKE,LEAKING,,1,
104922,,,,,
104923,,,,,
104924,INTAKE TUBE GASKET,LEAKING,,1,
104925,ENGINE BAFFLE MOUNTING SCREW,LOOSE,,3,
104926,BAFFLE PLUG,MISSING,,,R/H
104927,BAFFLE PLUG,NEEDS,PATCH,,R/H
104928,FWD ENG BLACK SEAL,WORN,AT ENG INDUCTION,,
104929,INTAKE GASKET,LEAKING,,4 3,
104930,,WORN,OUT,,
104931,INTAKE GASKET,LEAKING,,3,
104932,AFT BAFFLE BRACKET,CRACKED,,3,
104933,INTAKE,LEAKING,,4,L/H
104934,BAFFLE SCREW,MISSING,BAFFLE SECTION,2,
104935,,,,,
104936,,,,,
104937,,,,,
104938,INTAKE,LEAKING,,3,
104939,ROCKER COVER GASKET,NEED,TO BE REPLACED,3 2,
104940,INTAKE,LEAKING,,3,R/H
104941,INTAKE,LEAKING,,4 3 2,L/H
104942,ROCKER COVER,LEAKING,,2,
104943,INTAKE,LEAKING,,3,R/H
104944,INTAKE,LEAKING,,3 2,L/H
104945,BAFFLE SCREW,MISSING,,,R/H REAR
104946,,BROKEN,,3,
104947,INTAKE GASKET,LEAKING,,3,R/H
104948,UPPER BAFFLE SEAL,MISSING,,3,R/H
104949,,,,,
104950,INTERCYLINDER BAFFLE,CRACKED,,4 2,
104951,BAFFLE PLUG,DAMAGED,,,L/H
104952,INTAKE,OIL LEAK,,4,
104953,INTAKE,LEAKING,,3,
104954,ROCKER COVER,LEAKING,,3 2 1,
104955,,LOOSE,AT DASH,,
104956,,NEEDS,PAINT REMOVED,,
104957,,,,,
104958,,,,,
104959,,,,,
104960,ROCKER COVER GASKET,LEAKS,,3,
104961,,,,,
104962,,,,,
104963,,,,,
104964,,,,,
104965,INTAKE,LEAKING,,2,
104966,,LOOSE,,,R/H REAR
104967,INTAKE GASKET,LEAKING,,2,
104968,ROCKER COVER GASKET,LEAKING,,1,
104969,SNIFFLER VALVE,NEED,TO BE CLEANED,,
104970,FWD ENG BLACK SEAL,NEEDS,RTV WHERE INTAKE HITS IT,,
104971,,,,,
104972,,MISSING,,,
104973,BOTH BAFFLE PLUG,WORN,(ENG),,
104974,,BROKEN,,,R/H
104975,INTAKE GASKET,LEAKING,,4 2,
104976,CENTER CASE BOLT,LEAKING,OIL,,L/H
104977,,COMPRESSION,LOW COMPRESSION (16/80),3,R/H
104978,CENTER CASE BOLT,LEAKING,OIL,,L/H
104979,,COMPRESSION,LOW COMPRESSION (16/80),3,R/H
104980,,,,,
104981,,,,,
104982,INTAKE TUBE GASKET,LEAKING,,3,
104983,,MISSING,@ #3 BAFFLE,,
104984,INTAKE GASKET,LEAKS,,4,
104985,INTAKE GASKET,LEAKING,,4 2,
104986,INTAKE,LEAKING,,2,
104987,INTAKE,LEAKING,,4 3 2,L/H
104988,INTAKE,LEAKING,,4 3,R/H
104989,,,,,
104990,BRACKET,BROKEN,FOR #4 BAFFLE,,
104991,CLIP FOR OIL BAFFLE COOLER BRACKET,WORN,,,
104992,INTAKE GASKET,LEAKING,,1,
104993,INTAKE,LEAKING,,4,L/H
104994,INTAKE,LEAKING,,3 1,R/H
104995,ROCKER COVER,LEAKING,,1,R/H
104996,ENG BAFFLE PLUG,WORN,,,
104997,INTAKE GASKET,LEAKING,,2,
104998,INTAKE GASKET,LEAKING,,4 1,
104999,INTAKE,LEAKING,,2 1,
105000,ENGINE TO BAFFLE ATTACH FITTING,MISSING,SCREW,,
105001,INTAKE,LEAKING,,2,
105002,BAFFLE SCREW,MISSING,ABOVE #2 CYLINDER,,
105003,INTAKE GASKET,LEAKS,,3,
105004,ROCKER COVER GASKET,LEAK,,3 1,
105005,,,,,
105006,,,,,
105007,,,,,
105008,ENGINE BAFFLE PLUG,WORN,,,
105009,ROCKER COVER GASKET,LEAKING,,3 1,
105010,BAFFLE MOUNTING SCREW,MISSING,,,R/H REAR
105011,INTAKE,LEAKS,,2,
105012,BOTH ENG BAFFLE PLUG,WORN,,,
105013,,LOOSE,,,
105014,BLACK FWD SEAL,WORN,SPOTS,,
105015,INTAKE GASKET,LEAKING,,4,L/H
105016,BAFFLE PLUG,DAMAGED,,1,
105017,,,,,
105018,,,,,
105019,,,,,
105020,,,,,
105021,,,,,
105022,BAFFLE SCREW,MISSING,,3,
105023,,SHEARED,ALT AIR DOOR,,
105024,INTAKE,LEAKING,,2,R/H
105025,INTAKE,LEAKING,LEFT ENGINE,4 2,
105026,BAFFLE SCREW,MISSING,,3,
105027,FWD SNIFFLER VALVE,LEAKING,"OIL/FUEL. THERE IS A 6"" PUDDLE",,
105028,INTAKE,LEAKING,,4,
105029,FWD BAFFLE SEAL,LOOSE,,1,
105030,ROCKER COVER GASKET,LEAKING,,4 2,R/H
105031,INTAKE,LEAKING,,4,
105032,INTAKE GASKET,LEAKING,,4,L/H
105033,BAFFLE PLUG,DAMAGED,,1,
105034,ROCKER COVER GASKET,LEAKING,,4,
105035,BAFFLE SCREW,LOOSE,BAFFLE,3,
105036,INTAKE GASKET,LEAKING,,4 3,
105037,,,,,
105038,ROCKER COVER GASKET,LEAKING,,4 2,
105039,BAFFLE SCREW,LOOSE,BAFFLE,3,
105040,INTAKE GASKET,LEAKS,,3,L/H
105041,BAFFLE SEAL,LOOSE,,2,R/H
105042,INTAKE,LEAKING,,3 2,R/H
105043,INTAKE,LEAKING,,2,L/H
105044,FWD BAFFLE SEAL,LOOSE,@ #1 CYL,,
105045,INTAKE GASKET,LEAKING,,4,
105046,ROCKER COVER SCREW,MISSING,,2,
105047,OIL,LEAK,DISCOVERED ON #2 CYL,,
105048,INTAKE,LEAKING,,4 2,
105049,OIL,LEAK,RIGHT FWD CYL INTAKE TUBE,,
105050,,,,,
105051,ROCKER COVER GASKET,LEAKING,,4,
105052,,,,,
105053,,,,,
105054,,,,,
105055,,,,,
105056,INTAKE GASKET,LEAKING,,4 3 2,R/H
105057,INTAKE GASKET,LEAKING,,4,L/H
105058,CYL,COMPRESSION,COMPRESSION LOW,2,L/H
105059,AFT BAFFLE HAS SCREW,MISSING,,4,R/H
105060,CYL,COMPRESSION,COMPRESSION LOW,2,L/H
105061,,,,,
105062,INTAKE,LEAKING,,4 2,
105063,INTAKE,LEAK,,4,
105064,,,,,
105065,,,,,
105066,INTAKE,LEAKING,,4 2,
105067,,,,,
105068,,DAMAGED,,4,
105069,ENG GROUNDING BOLT,LOOSE,,,
105070,INTAKE GASKET,LEAKING,,3,R/H
105071,,LOOSE,,4 3 2 1,
105072,INTAKE,LEAKING,,4 3 2,
105073,BAFFLE SEAL,NEEDS,TO BE SECURED,1,
105074,ROCKER COVER GASKET,LEAKS,,3,L/H
105075,BAFFLE SEAL,LOOSE,BY #4 CYL,,L/H
105076,,BROKEN,,3,
105077,INTAKE GASKET,LEAKING,,4 2,
105078,BOTH ENG BAFFLE PLUG,WORN,,,
105079,,WORN,IN SPOTS & LOOSE ON L/H SIDE,,
105080,,,,,
105081,,,,,
105082,,,,,
105083,BAFFLE PLUG,WORN,,,
105084,INTAKE GASKET,LEAK,,4 2,L/H
105085,INTAKE GASKET,LEAKING,,4,
105086,BAFFLE SEAL,LOOSE,FWD BOTTOM R/H SIDE,,
105087,INTAKE,LEAKING,,3,
105088,,,,,
105089,,,,,
105090,,,,,
105091,,,,,
105092,INTAKE GASKET,LEAKING,,3 2,
105093,SNIFFLER VALVE,DIRTY,,,
105094,INTAKE GASKET,LEAKS,,4,
105095,,NEED,TO BE SECURED AT BATT COOLING,4 2,
105096,INTAKE GASKET,LEAKING,,2,
105097,INTAKE GASKET,LEAKING,,2,R/H
105098,BAFFLE,NEEDS,TO BE PATCHED. BUTTON PLUG HOLE HAS WORN TOO,3,
105099,INTAKE,LEAKING,,2,R/H
105100,INTAKE,LEAKING,,4 3,L/H
105101,INTAKE GASKET,LEAKING,,4,
105102,,,,,
105103,INTAKE GASKET,LEAKS,,3,R/H
105104,FRONT BAFFLE,CRACKED,,2,
105105,,,,,
105106,,,,,
105107,INTAKE GASKET,LEAKS,,4,
105108,INTAKE,LEAKING,,4,
105109,INTAKE GASKET,LEAKING,,4,
105110,,,,,
105111,INTAKE GASKET,LEAKING,,3 2,
105112,IMPELLER,DIRTY,,,
105113,,,,,
105114,,,,,
105115,ROCKER COVER GASKET,LEAKS,,2,R/H
105116,,,,,
105117,INTAKE GASKET,LEAKING,,3,R/H
105118,,,,,
105119,,LOOSE,,3 1,R/H
105120,INTAKE,LEAKING,,1,
105121,,,,,
105122,INTAKE GASKET,LEAKING,,4,
105123,,,,,
105124,,,,,
105125,,,,,
105126,INTAKE GASKET,LEAKS,,4,
105127,INTAKE,LEAKING,,4 2,
105128,BAFFLE PLUG,WORN,,,
105129,INTAKE GASKET,LEAKING,,4,
105130,INTAKE,LEAKING,,3,
105131,BAFFLE,CRACKED,BY #3 CYL,,L/H
105132,INTAKE GASKET,LEAKING,,3,L/H
105133,,,,,
105134,INTAKE,LEAKING,,1,
105135,ROCKER COVER,LEAKING,,4 1,
