id,part,action,cylinders,details,engine
104494,,REPLACED,,EXHAUST PUSH ROD TOO SHORT,
104495,INTAKE GASKET,REMOVED,,REPLACED,
104496,,REMOVED,,REPLACED PLUG,
104498,,INSTALLED,,NEW GASKETS,
104499,,INSTALLED,,NEW INTAKE TUBE GASKET,
104500,,REPLACED,,GASKET,
104501,,REMOVED,,FOD,
104502,,STOP,,DRILLED CRACK,
104503,BAFFLE TENSION ROD,REPLACED,,BROKEN,
104504,,CLEANED,,VALVES,
104505,,INSTALLED,,PLUG,
104506,,CLEANED,,SCREEN,
104507,,REMOVED & REPLACED,,GASKET,
104508,,STOP,,DRILLED CRACK,
104509,,STOP,,DRILLED CRACK,
104510,,REVIEWED,,"FDM DATA, SHOWED MOMENTARY RPM OF 2772.5, COMP",
104511,,REPLACED,,GASKET,
104512,,STOP,,DRILLED CRACK,
104513,,RECRIMPED,,STAPLES,
104514,,REPLACED,,INTAKE GASKET,
104515,,REPLACED,,GASKETS,
104516,,REPLACED,,GASKET,
104517,,ADJUSTED,,"IDLE ""UP"" TO SPECS, OPS CK GOOD",
104518,,REPLACED,,GASKET,
104519,,REMOVED & REPLACED,,GASKETS,
104520,,INSTALLED,,W/ LOCK TITE,
104521,,STOPPED,,DRILLED CRACK,
104522,,REMOVED,,REPLACED GASKET,
104523,,REMOVED,,REPLACED GASKETS,
104524,,REMOVED,,REPLACED GASKETS,
104525,,REMOVED,,REPLACED GASKET,
104526,,REMOVED,,REPLACED GASKETS,
104527,,REMOVED,,REPLACED W/ SILICONE GASKET,
104528,BAFFLE SEAL,RESECURED,,W/ POP RIVETS,
104529,,INSTALLED,,NEW GASKETS,
104530,,INSTALLED,,NEW INTAKE TUBE GASKETS,
104531,,REPLACED,,ROCKER COVER SCREW,
104532,,INSTALLED,,NEW HARDWARE,
104533,,REMOVED,,REPLACED BAFFLE,
104534,,REMOVED,,REPLACED DEFLECTOR,
104535,,REMOVED,[4],REPLACED #4 CYL EXHAUST PUSH TUBE,
104536,,CLEANED,,ALL BAFFLING OF OLD FELT & ADHESIVE. CLEANED AB,
104537,,REMOVED,,REPLACED GASKETS,
104538,,INSTALLED,,NEW GASKETS,
104539,,REMOVED,,REPLACED GASKETS,
104540,,REMOVED,,REPLACED GASKET,
104541,GASKETS,REMOVED,,REPLACED,
104542,,INSPECTED,,,
104543,,REMOVED,,BLOCKAGE,
104544,,PREHEATED,,,L
104545,,RAN,,A/C & WARMED ENGINE. ALL CHECKS GOOD. NO DEFECTS FO,
104546,,STARTED,,A/C FOR PILOT,
104547,GASKET,REMOVED,,REPLACED,
104548,,REMVED,,REPLACED GASKET,
104549,GASKET,REPLACED,,,
104550,GASKET,REMOVED,,REPLACED,
104551,GASKETS,REMOVED,,REPLACED,
104552,GASKETS,REMOVED,"[1, 2, 3, 4]",REPLACED ALL,
104553,,DID NOT EXCEED,,5% OR RATED ENGINE SPEED IA,
104554,,RAN UP,,"A/C, PERFORMED MAG, IDLE/MIXTURE CHECKS MULTIPLE",
104555,INTAKE GASKET,REMOVED,,REPLACED,
104556,GASKETS,REMOVED,,REPLACED,
104557,GASKET,REMOVED,,REPLACED,
104558,GASKET,REMOVED,,REPLACED,
104559,GASKET,REPLACED,,,
104560,,SECURED,,W/ POP RIVETS,
104561,INTAKE GASKET,REMOVED,,REPLACED,
104562,,REMOVED,,REPLACED,
104563,,REMOVED,,REPLACED,
104564,INTAKE GASKETS,REMOVED,,REPLACED W/ NEW,
104565,TIE RODS,REPLACED,,,
104566,,LEAK CK,,GOOD,
104567,,LEAK CK,,GOOD,
104568,,LEAK CK,,GOOD,
104569,,STARTED,,DISASSEMBLY,
104570,,LEAK CK,,GOOD. FOR MX BREAK-IN FLIGHT,
104571,CYLINDER,REPLACED,,"W/ NEW CYLINDER. TORQUED TO CASE, STA",
104572,,COMPLETED,,"REASSEMBLY, DRY TAPPET CLEARANCE CK GOOD. SER",
104573,CYLINDER,REPLACED,,"TORQUED TO CASE, DRY TAPPET CLEARANC",
104574,CYLINDER,REPLACED,,"TORQUED TO CASE, DRY TAPPET CLEARANC",
104575,CYLINDER,REPLACED,,"TORQUED TO CASE, DRY TAPPET CLEARANC",
104576,INTAKE GASKET,REPLACED,,,
104577,,REMOVED,,REPLACED GASKET,
104578,INTAKE GASKET,REMOVED,,REPLACED,
104579,,REMOVED,,REPLACED GASKET,
104580,,REPLACED,,GASKET,
104581,GASKET,REPLACED,,,
104582,CLAMP,RESECURED,,,
104583,GASKET,REMOVED & REPLACED,,,
104584,,INSTALLED,,NEW SCREW,
104585,,WASHED,,"ENGINE, RAN A/C. OPS & LEAK CK GOOD. NO DISCREPA",
104586,,INSTALLED,,NEW PLUG,
104587,INTAKE GASKET,INSTALLED,,NEW,
104588,GASKET,REMOVED & REPLACED,,,
104589,,WASHED,,ENGINE,
104590,,LEAK CK GOOD,,,
104591,,CLEANED & SEALED,,LEAKING BOLT HOLE,
104592,BAFFLE,INSTALLED,,NEW REPAIRED,R
104593,GASKETS,REMOVED & REPLACED,,,
104594,INTAKE GASKETS,REMOVED & REPLACED,,BOTH,
104595,,INSPECTED,[1],FOUND CYL #1 INTAKE TUBE TO BE LOOSE. REMOV,
104596,GASKET,REPLACED,,,
104597,,CLEANED,,BOTH SNIFFLER VALVES,
104598,,REMOVED & REPLACED,,CHAFE TAPE AS NEEDED,
104599,,RAN,,"A/C, COULD NOT DUPLICATE DISCREPANCY. OPS CK GOOD",
104600,BAFFLE SEAL,SECURED,,W/ POP RIVET,
104601,INTAKE GASKET,REMOVED,,REPLACED,
104602,INTAKE GASKET,REMOVED,,REPLACED,
104603,,COMPLETED,,REASSEMBLY; INCLUDING FUEL LINES AT PUMP. RAN,
104604,,INSTALLED,,TORQUED ORIGIN,
104605,BAFFLE,TRIMMED,,FRONT & SEAL TO ALLOW PROPER ALIGNMENT,
104606,INTAKE GASKET,INSTALLED,,NEW,
104607,,REMOVED,,REPLACED GASKET,
104608,ROCKER COVER GASKET,REMOVED,,REPLACED,
104609,,SAFETIED,,FWD ENGINE BAFFLE BOLT,R
104610,,INSTALLED,,RTV TO WORN AREAS,
104611,,RESECURED,,FWD BAFFLE,R
104612,,REPLACED,,BAFFLE SEAL,
104613,,INSTALLED,,NEW ROCKER BOX COVER GASKETS,
104614,,RESECURED,,BAFFLE SEALS W/ POP RIVETS,
104615,,REMOVED,,REPLACED GASKET,
104616,,REMOVED,,REPLACED GASKET,
104617,,REMED,,REPLACED GASKETS,
104618,INTAKE GASKET,REMOVED,,REPLACED,
104619,,REPLACED,,PINS W/ NEW PARTS,
104620,,REPLACED,,"PUSH RODS, DRY TAPPET CLEARANCE GOOD",
104621,CRANKSHAFT OIL SEAL,INSTALLED,,,
104622,,RUN,,LEAK CK GOOD,
104623,BAFFLES,INSTALLED,,,
104624,,SET,,ALT BELT TENSION,
104625,,REMOVED,,,
104626,,REMOVED,,"CYLINDERS, PISTONS, CONNECTING ROD ACCESSORY HO",
104627,,TORQUED,,CRANKSHAFT GEAR & LOCK PLATE TO 204 IN/LBS,
104628,,REMOVED,,REPLACED GASKETS,
104629,,REPLACED,,W/ NEW GASKET,
104630,,RAN,,"ENGINE, OPS & LEAK CK GOOD",
104631,,REINSTALLED,,CYLINDER ACCESSORIES & BAFFLING,
104632,,REMOVED,,REPLACED INTAKE GASKETS,
104633,,INSPECTED,,FOUND EXHAUST VALVE TO BE BURNT,
104634,,INSTALLED,,"LONGER PUSH ROD, EXHAUST ALVE LEAK CK GOOD",
104635,,TRANSFERRED,,AIRWORTHY PARTS TO REPAIRED BAFFLE ASSY,
104636,,CK'ED,,OK,
104637,,CLEANED,,"UP AREA, FOUND MARKS NEGLIGIBLE",
104638,,STOP,,DRILLED CRACK,
104639,,REMOVED,,REPLACED GASKETS,
104640,,REMOVED,,REPLACED INTAKE TUBE,
104641,GASKETS,REMOVED,,,
104642,PLUGS,INSTALLED,,NEW,
104643,GASKET,REMOVED,,,
104644,GASKET,REMOVED,,,
104645,,REINSTALLED,,#3 ROCKER COVER,
104646,GASKETS,REMOVED,,,
104647,ENGINE BAFFLES,COMPLETED,,,
104648,ENGINE BAFFLES,DISASSEMBLED,,,
104649,,RAN UP,,LEAK CK GOOD,
104650,GASKETS,REMOVED,,,
104651,,REMOVED,,R/H REAR BAFFLE,
104652,,LEAK CK GOOD,,,
104653,,RETORQUED,,LOOSE BOLT,
104654,INTAKE GASKETS,REPLACED,,,
104655,GASKETS,REMOVED,,,
104656,GASKETS,REMOVED,,,
104657,GASKET,REMOVED,,,
104658,,ADJUSTED,,IDLE RPM FOR SEASONAL CONDITIONS,
104659,,REMOVED,,REPLAED W/ NEW SILICONE GASKET,
104660,,REMOVED,,CLAMP W/ NEW,
104661,,,,,
104662,SNIFFLER VALVES,CLEANED,,,
104663,,REMOVED,,REPLACED GASKETS,
104664,,REMOVED,,REPLACED BROKEN CAM LOCK,
104665,GASKET,REPLACED,,,
104666,BOLT,TIGHTENED,,,
104667,,REMOVED,,REPLACED GASKETS,
104668,VALVES,CLEANED,,,
104669,,REMOVED,,REPLACED GASKET,
104670,,REMOVED,,REPLACED GASKETS,
104671,,INSPECTED,,FOUND EVIDENCE OF ROCKER COVER GASKETS LEAKI,
104672,,ZIP TIED,,APPLIED SILICONE TO BAFFLE SEAL,
104673,,INSPECTED,,NO DEFECTS FOUND. PERFORMED GROUN,L
104674,BAFFLE PATCH,INSTALLED,,,
104675,,REMOVED,,REPLACED GASKET,
104676,,REMOVED,,REPLACED GASKET,
104677,,APPLIED,,BLACK SILICONE TO FRONT ENGINE BAFFLE SEAL,
104678,,C/W,,"LYCOMING , NO DEFECTS NOTED",
104679,,REMOVED,,REPLACED GASKETS,
104680,,RAN,,A/C; RPM CHECKS GOOD. FOR MX FLIGH,
104681,,REMOVED,,HIGH TEMP SILICONE & RETORQUED BO,
104682,,SET,,"IDLE ADJUSTMENT TO SPECS, OPS GOOD",
104683,GASKET,REMOVED,,& O-RING,
104684,GASKET,REMOVED,,,
104685,BAFFLE PLUGS,REPLACED,,,
104686,GASKET,REMOVED,,,
104687,,INSTALLED,,NEW GASKETS,
104688,,APPLIED,,RTV TO WORN AREAS,
104689,,LEAK,,CK GOOD,
104690,,LEAK,,& OPS CK GOOD,
104691,,INSTALLED,,"FWD BAFFLE, SIDE BAFFLE, ALTERNATOR & ATTACH",
104692,,REMOVED,,"FWD BAFFLE, SIDE BAFFLE, ALTERNATOR & ATTACHING",
104693,,INSTALLED,,& TORQUED INJECTOR LINE. REINSTALLED #4 CYL &,
104694,,REMOVED,,#4 CYL SIDE & AFT BAFFLE. REMOVED #4 INJECTOR L,
104695,INTAKE GASKETS,REPLACED,,,
104696,,REMOVED,,"BAFFLING, INTAKE, EXHAUST, OIL RETURN & INJ LIN",
104697,,REINSTALLED,,"EXHAUST, INTAKE, INJECTION LINE & BAFFLING",
104698,GASKET,REPLACED,,,
104699,,RAN,,"A/C, OPS & LEAK CK GOOD",
104700,,REMOVED,,"BAFFLING, #2 INTAKE TUBE, #2 EXHAUST TUBE, #2 &",
104701,LIFTERS,REINSTALLED,,,
104702,EXH,REPLACED,,,
104703,EXHAUST PUSH ROD,REINSTALLED,,,
104704,ROCKER COVER,REMOVED,,,
104705,,REPLACED,,,
104706,,REPLACED,,,
104707,SCREW,TIGHTENED,,,
104708,GASKET,INSTALLED,,NEW,
104709,INTAKE GASKETS,INSTALLED,,NEW,
104710,SCREW,INSTALLED,,,
104711,,,,"OK, OIL ON EDGES",
104712,,FINISHED,,,
104713,,FINISHED,,,
104714,#31 PUSH ROD,INSTALLED,,,
104715,CHT RECEPTILES,INSTALLED,,NEW,
104716,,REPLACED,,,
104717,,REMOVED,,,
104718,,REMOVED,,,
104719,,INSTALLED,[1],,
104720,,INSTALLED,,,
104721,,REMOVED,[3],PISTON,
104721,,INSTALLED,[3],PISTON RINGS,
104722,,INSTALLED,[3],PISTON RINGS,
104722,,LUBED,[3],TORQUED CYL BASE,
104723,,REMOVED,,"FWD BAFFLE, MUFFLER, ALTERNATOR, INTAKE & LINES",
104724,,INSTALLED,,"INTAKE TUBE, CHT PROBE, INTERCYL BAFFLING",
104725,,INSTALLED,,"INTAKE TUBE, CHT PROBE, INTERCYL BAFFLING",
104726,,REMOVED,,"AFT BAFFLE, INTAKE LINES (OIL & FUEL) & OIL COO",
104727,,INSTALLED,,"INTAKE TUBE, BAFFLES, CHT PROBE, WIRING & INJ",
104728,,INSTALLED,,"INTAKE TUBE, CHT PROBE, WIRING, INJECTOR LINE",
104729,,TIGHTENED,,SCREW,
104730,,APPLIED,,SEALANT TO BAFFLE,
104731,,CLEANED,,ENGINE,
104732,,INSTALLED,,NEW TENSION CABLE,
104733,,REMOVED,,REPLACED GASKET,
104734,,REMOVED,,REPLACED GASKET,
104735,,REMOVED,,REPLACED BAFFLE TIE,
104736,,REMOVED,,REPLACED ATTACH FITTING,
104737,,CLEANED,,SCROLL,
104738,,PATCHED,,BAFFLE,
104739,,REMOVED,,REPLACED BAFFLE,
104740,,INSTALLED,,INTAKE TUBE,
104741,INTAKE TUBE,INSTALLED,,,
104742,BAFFLE DEFLECTOR,REPLACED,,,
104743,BAFFLES,SEALED,,,
104744,,REMOVED,,,
104745,FUSELAGE,WASHED,,,
104746,OIL COOLERS,INSTALLED,,,
104747,BAFFLING,CLEANED,,,
104748,STARTER,INSTALLED,,,
104749,BAFFLE FELT,REPLACED,,,
104750,,INSTALLED,,,
104751,TOP BAFFLE,INSTALLED,,,
104752,,COMPLETED,,,
104753,,REMOVED,,,
104754,,RAN,,,
104755,,REPLACED,,,
104756,,REPLACED,,,
104757,,INSTALLED,,,
104758,,INSTALLED,,,
104759,,REPLACED,,,
104760,,RAN,,,
104761,,INSTALLED,,NEW GASKETS,
104762,,REMOVED,,& REPLACED GASKETS,
104763,,INSTALLED,,NEW RIVET,
104764,,REMOVED,,& REPLACED GASKET,
104765,,SECURED,,SEAL W/ RIVET,
104766,,REMOVED,,& REPLACED GASKET,
104767,,REMOVED,,& REPLACED GASKET,
104768,,SERVICED,,"ENG W/ 8 QTS MINERAL OIL. RAN A/C, OPS & LEAK",
104769,,REMOVED,,AIR INTAKE BOX. REMOVED MUFFLER & STACKS. REMOV,
104770,,INSTALLED,,REPAIRED CYLINDER ASSY W/ NEW BASE O-RING. TO,
104771,,REMOVED,,& REPLACED EXHAUST PUSH ROD W/ -29 PUSH ROD. EX,
104772,,STARTED,,"ENGINE USING NORMAL PROCEDURES. RUN UP ENGINE,",
104773,,INSTALLED,,PATCH ON BAFFLING,
104774,,REMOVED,,& REPLACED GASKETS,
104775,,INSTALLED,[2],BOLT IN #2 CYL SIDE BAFFLE,L
104776,,REMOVED,,& REPLACED GASKET,
104777,,INSPECTED,,"INTAKE TUBES, GASKETS & O-RINGS, NO DEFECTS",
104778,,CLEANED,,A/C & ENGINE COMPARTMENT. FOUND OIL LEAKING FRO,
104779,,PERFORMED,,"GROUND RUN, ADJUSTED IDLE & MIXTURE SETTINGS,",
104780,,REPLACED,[1],CYL #1 INDUCTION TUBE & GASKETS. GROUND RUN RE,
104781,INTAKE GASKET,REMOVED,,REPLACED,
104782,,APPLIED,,BLACK RTV,
104783,,REMOVED,,REPLACED GASKET,
104784,,SEALED,,AREA W/ RTV,
104785,,TIGHTENED,,SCREW,
104786,INTAKE GASKETS,REMOVED,,CLEANED & REPLACED W/ NEW,
104787,,REMOVED,,REPLACED GASKETS,
104788,,REMOVED,,REPLACED GASKET,
104789,,REMOVED,,REPLACE GASKET,
104790,,RAN,,"A/C, COULD NOT DUPLICATE",
104791,INTAKE GASKETS,INSTALLED,,NEW,
104792,,REMOVED,,REPLACED W/ NEW GASKETS,
104793,,STOP,,DRILLED CRACK,
104794,,APPLIED,,2 PART EPOXY,
104795,BAFFLE SECTION,REPLACED,,,
104796,,REPLACED,,MISSING HARDWARE,
104797,,REMOVED,,REPLACED GASKET,
104798,,REMOVED,,REPLACED GASKETS,
104799,,REMOVED,,REPLACED GASKETS,
104800,BAFFLE SEAL,RESECURED,,W/ POP RIVETS,
104801,INTERCONNECT ROD,REMOVED,,REPLACED,
104802,,RAN,,AT VARIOUS POWER SETTINGS. COULD NOT DUPLICATE,
104803,GASKET,REPLACED,,,
104804,GASKET,REPLACED,,,
104805,GASKET,REMOVED,,REPLACED,
104806,GASKETS,REMOVED,,REPLACED W/ NEW,
104807,BAFFLE SEAL,SECURED,,FWD,
104808,GASKET,REMOVED,,REPLACED,
104809,GASKET,REMOVED,,REPLACED,
104810,GASKET,REMOVED,,REPLACED W/ NEW,
104811,,LEAK CK,,GOOD,
104812,,REMOVED,,REPLACED W/ REPAIRED CYL ASSY. INSTA,
104813,INTAKE GASKET,REPLACED,,,
104814,GASKETS,REMOVED,,REPLACED,
104815,BRACKET,REPLACED,,MADE OUT OF STAINLESS STEEL,
104816,,STOP DRILLED,,CRACK,
104817,,STOP DRILLED,,,
104818,,OPS & LEAK CK,,GOOD,
104819,,REMOVED,,"PLUG, CLEANED THREAD. APPLIED NEW SEALANT & REI",
104820,GASKET,REPLACED,,,
104821,,INSTALLED,,NEW GASKET,
104822,,INSTALLED,,NEW TIE WIRE,
104824,,REMOVED,,REPLACED GASKETS,
104826,,INSPECTED,,A/C ENGINE,
104828,,INSTALLED,,NEW GASKETS,
104830,,INSTALLED,,NEW PLUG,
104832,,REPLACED,,GASKET,
104833,,REPLACED,,GASKET,
104834,,REMOVED,,REPLACED BAFFLE TIE,
104836,,REMOVED,,REPLACED W/ NEW GASKET,
104838,,REMOVED,,REPLACED W/ NEW GASKETS,
104839,,REMOVED,,REPLACED GASKET,
104840,,REMOVED,,REPLACED INTAKE GASKETS,
104841,GASKETS,REPLACED,,,
104842,,STARTED,,,
104843,,STARTED,,,
104844,,ADJUSTED,,,
104845,,REPOSITIONED,,,
104846,GASKETS,REMOVED,,REPLACED,
104847,SCREW & WASHER,INSTALLED,,,
104848,,LEAK CK,,GOOD,
104849,BAFFLE SEAL,RESECURED,,,
104850,FITTING,TIGHTENED,,,
104851,GASKET,REMOVED,,REPLACED W/ NEW,
104852,,LEAK CK,,GOOD,
104853,LINE,REPOSITIONED,,,
104854,WIRE,REPOSITIONED,,,
104855,GASKET,REMOVED,,REPLACED,
104856,,COMPLETED,,REMOVAL OF ENGINE FROM A/C. BEGAN DISCONNECTI,
104857,,INSTALLED,,CONNECTED ENGINE IAW,
104858,GASKETS,REMOVED,,REPLACED,
104859,,RTV APPLIED,,WHERE NEEDED,
104860,CHT PROBE,REMOVED,,"REPLACED. GROUND RAN A/C, OPS CK GO",
104861,,INSTALLED,,NEW,
104862,,REPAIRED,,W/ SILICONE & NEW POP RIVETS,
104863,GASKET,REPLACED,,,
104864,SCREW,TIGHTENED,,,
104865,,SECURED,,PUT RTV AT WORN SPOTS,
104866,,REMOVED,,REPLACED W/ NEW GASKETS,
104867,,REMOVED,,REPLACED W/ NEW,
104868,,RAN UP,,A/C TO OPERATING TEMPERATURE & RECHECKED COMPRES,
104869,,INSTALLED,,NEW,
104870,,REMOVED,,REPLACED W/ NEW INTAKE GASKET,
104871,,REMOVED,,REPLACED INTAKE GASKETS,
104872,,REMOVED,,FABRICATED PATCH FROM LIKE MAT,
104873,,REMOVED,,REPLACED GASKET,
104874,,REMOVED,,REPLACED GASKET,
104875,,REMOVED,,REPLACED W/ NEW GASKET,
104876,,REPLACED,,W/ NEW SCREW,
104877,,REMOVED,,REPLACED W/ NEW SILICONE GASKET,
104878,BOLT,REINSTALLED,,,
104879,SCREW,TIGHTENED,,,
104880,,COMPLETED,,INSTALLATION OF BAFFLE,
104881,BAFFLE SEAL,REPLACED,,NEW,
104882,,REMOVED,,REPLACED GASKETS,
104883,BOOT,REPLACED,,,
104884,,REMOVED,,REPLACED GASKET,
104885,,REMOVED,,REPLACED GASKETS,
104886,,COMPLETED,,REASSEMBLY OF ENGINE,
104887,GASKETS,REPLACED,,,
104888,,,,FOR CYLINDER REPLACEMENT,
104889,,REMOVED,,REPLACED BAFFLE PLUGS,
104890,DOUBLER,INSTALLED,,,
104891,CLAMPS,TIGHTENED,,,
104892,,REMOVED,,REPLACED GASKET,
104893,,BEGAN,,DISASSEMBLY OF ACCESSORIES TO FACILITATE CYLINDER,
104894,,INSTALLED,,TORQUED NEW CYL ASSY. DRY LASH CK GOOD,
104895,,COMPLETED,,INSTALLATION OF ACCESSORIES,
104896,,UNKINKED,,SECURED HOSE,
104897,TIE ROD NUT,TIGHTENED,,,
104898,SCREW,TIGHTENED,,,
104899,BAFFLE SEAL,REATTACTED,,,
104900,,REMOVED,,REPLACED INTAKE GASKET,
104901,INTAKE GASKETS,REPLACED,,,
104902,GASKET,REMOVED,,,
104903,BAFFLE PLUG,REMOVED,,,
104904,,INSTALLED,,NEW SEAL IN BOTTOM CORNER,
104905,BRACKET,REPLACED,,,
104906,GASKETS,REMOVED,,,
104907,ENGINE BAFFLES,REMOVED,,,
104908,,STARTED,,,
104909,,COMPLETED,,,
104910,,INSTALLED,[4],ALL ROCKER COVER,
104911,,TIGHTENED,,LOOSE SCREW,
104912,,INSTALLED,,DOUBLER PATCH IAW SE SRM,
104913,GASKETS,REMOVED,,,
104914,,DRESSED,,,
104915,GASKET,REMOVED,,,
104916,GASKET,REPLACED,,,
104917,,REPLACED,[2],#2 GASKET,
104918,,REPLACED,[4],#4 GASKET,
104919,GASKETS,REMOVED,,,
104920,GASKET,REMOVED,,,
104921,,REMOVED,,REPLACED,
104922,,REMOVED,,RESEARCHED DATA,
104924,,INSTALLED,,NEW,
104925,,TIGHTENED,,,
104926,BAFFLE PLUG,INSTALLED,,,
104927,BAFFLE PATCH,INSTALLED,,,
104928,,APPLIED,,,
104929,GASKETS,REPLACED,,,
104930,RIVETED PATCHES,INSTALLED,,,
104931,,REMOVED,,REPLACED,
104932,,REMOVED,,REPLACED,
104933,,REMOVED,,REPLACED,
104934,,INSTALLED,,,
104935,,RAN,,,
104936,,RAN,,,
104937,,PERFORMED,,SEASONAL ADJUSTMENT,
104938,,REMOVED,,REPLACED,
104939,,REMOVED,,REPLACED,
104940,,REMOVED,,REPLACED,
104941,GASKETS,REMOVED,,REPLACED,
104942,GASKET,REMOVED,,REPLACED,
104943,GASKET,REMOVED,,REPLACED,
104944,GASKETS,REMOVED,,REPLACED,
104945,,INSTALLED,,NEW SCREW,
104946,STAND OFF,REMOVED,,REPLACED,
104947,GASKET,REMOVED,,REPLACED,
104948,BAFFLE SEAL,REPLACED,,,
104949,SCREW,TIGHTENED,,,
104950,,STOP DRILLED,,CRACK,
104951,BAFFLE PLUG,REPLACED,,,
104952,,INSPECTED,,FOUND OIL LEAK TO BE RESIDUAL. CLEANED AREA,
104953,INTAKE GASKET,REMOVED,,REPLACED,
104954,GASKETS,REMOVED,,REPLACED,
104955,BACKING NUT,TIGHTENED,,,
104956,,CLEANED,,"PAINT AWAY, BOTH SIDES OF AREA",
104957,,INSTALLED,,PATCH OVER AREA - LIKE MATERIAL SRM CH 51-71-,
104958,,REINSTALLED,,CHIP PLUGS & SAFETIED,
104959,,CHANGED,,OIL & FILTER,
104960,#3 ROCKER COVER GASKET,REMOVED,,REPLACED. LEAK CK GOOD,
104961,,,,,
104962,,REMOVED,[1],COMPLET,
104963,,REMOVED,"[2, 4]",,
104964,,INSTALLED,,,L
104965,GASKET,REPLACED,,,
104966,ENGINE BAFFLE,RESECURED,,,
104967,GASKET,REPLACED,,,
104968,GASKET,REPLACED,,,
104969,VALVES,CLEANED,,,
104970,,INSTALLED,,RTV IN WORN AREAS,
104971,,INSTALLED,,GRD WIRE,
104972,,INSTALLED,,NEW SCREW,
104973,,REPLACED,,BOTH BAFFLE PLUGS,
104974,,INSTALLED,,NEW BAFFLE TIE,
104975,GASKETS,REPLACED,,,
104976,,LEAK CK GOOD,,,
104977,,OPS & LEAK CK GOOD,,,
104978,,REMOVED,,"BOLT, CLEANED CASE, INSTALLED, TORQUED & SEALED",
104979,,REPLACED,,CYL & PISTON W/ NEW IAW LYCOMING DIR,
104980,,REMOVED,,"FDM CARD, FOUND TO BE LESS THAN 5%. NO DEFECTS",
104981,,,,,
104982,INTAKE GASKET,INSTALLED,,NEW,
104983,,INSTALLED,,NEW HARDWARE,
104984,,REMOVED,,REPLACED GASKET,
104985,GASKETS,REPLACED,,,
104986,,INSTALLED,,NEW GASKET,
104987,,REMOVED,,REPLACED GASKETS,
104988,,REMOVED,,REPLACED INTAKE GASKETS,
104989,,STOP,,DRILLED CRACK,
104990,,FABRICATED,,NEW BRACKET FOR #4 BAFFLE,
104991,,FABRICATED,,CLIP & INSTALLED,
104992,,INSTALLED,,NEW GASKET,
104993,INTAKE GASKET,REPLACED,,,
104994,INTAKE GASKETS,REPLACED,,,
104995,,REMOVED,,REPLACED ROCKER COVER GASKET,
104996,,REMOVED,,REPLACED BOTH BAFFLE PLUGS,
104997,,REMOVED,,REPLACED GASKET,
104998,,REMOVED,,REPLACED GASKETS,
104999,,REMOVED,,REPLACED GASKETS,
105000,SCREW,REPLACED,,,
105001,,INSTALLED,,NEW,
105002,,INSTALLED,,,
105003,,REMOVED,,REPLACED,
105004,,REMOVED,,REPLACED,
105005,,TIGHTENED,,,
105006,,REMOVED,,SECURED,
105007,,INSTALLED,,RTV TO WORN AREA,
105008,,REMOVED,,REPLACED,
105009,,REMOVED,,REPLACED,
105010,,INSTALLED,,NEW,
105011,,REMOVED,,REPLACED,
105012,,REPLACED,,W/ NEW,
105013,,TIGHTENED,,,
105014,,INSTALLED,,RTV TO WORN AREAS,
105015,,REMOVED,,REPLACED W/ NEW,
105016,,REMOVED,,REPLACED,
105017,,READ,,"FDM CARD DATA, FOUND TO BE LESS THAN 5%. NO DEFECT",
105018,,INSPECTED,,"DATA ON CARD. RPM FOUND TO 2703.4, NO ACTION",
105019,,CONTINUED,,,
105020,,COMPLETED,,,
105021,,,,,
105022,,INSTALLED,,NEW,
105023,,REMOVED,,"IAW , CH",
105024,GASKET,REPLACED,,,
105025,GASKETS,REPLACED,,,
105026,SCREW,REPLACED,,,
105027,SNIFFLER VALVES,INSPECTED,,NO DEFECTS NOTED,
105028,,REMOVED,,NEW GASKET,
105029,SEAL,RESECURED,,,
105030,,REMOVED,,NEW GASKETS,
105031,,REMOVED,,INTAKE GASKET,
105032,GASKET,REPLACED,,,
105033,PLUG,REPLACED,,,
105034,GASKET,REPLACED,,,
105035,,LEAK CK,,GOOD,
105036,,REMOVED,,NEW GASKETS,
105037,,REPLACED,,BIGGER RIVET,
105038,,REMOVED,,NEW GASKETS,
105039,,PARTIALLY REMOVED,[3],BAFFLING SECURED SCREWS & OIL,
105040,,REMOVED,,INTAKE GASKET,
105041,SEAL,TIGHTENED,,,
105042,,REMOVED,,REPLACED GASKETS,
105043,INTAKE GASKET,REPLACED,[2],,
105044,BAFFLE MATERIAL,RESECURED,,,
105045,,REMOVED,,REPLACED GASKET,
105046,SCREW,INSTALLED,,NEW,
105047,ROCKER BOX COVER GASKET,INSTALLED,[2],NEW,
105048,,REMOVED,,REPLACED GASKETS,
105049,ROCKER COVER GASKET,REPLACED,,LEAKING,
105050,,CLEANED,,DEBRIS FROM COOLER SYSTEM. INSPECTED CYLINDERS,
105051,GASKET,REPLACED,,,
105052,,RAN,,"A/C, LEAK CK GOOD",
105053,,REMOVED,,COWLING. CLEANED ENGINE,
105054,,PERFORMED,,"GROUND RUN, VERIFIED OIL LEAKAGE @ LIFTING EY",
105055,,PERFORMED,,GROUND RUN; ALL SYSTEMS CK GOOD. CK'ED COMPRE,
105056,,REMOVED,,REPLACED GASKETS,
105057,,REMOVED,,REPLACED W/ NEW GASKET,
105058,,RAN,,"A/C, LEAK CK GOOD",
105059,SCREW,REPLACED,,,
