IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE,WITH,INSTALL TYPE,ACTIONPART,TAGGEDACTION,CAUSE
105453,"R/H ENGINE #2, 4 INTAKE GASKET LEAKING.",Ok,"R/H ENGINE #2, 4",INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105454,L/H ENGINE #3 INTAKE GASKET LEAKING.,Ok,L/H ENGINE #3,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105455,"R/H ENGINE #3, 4 INTAKE GASKETS LEAKING.",Ok,"R/H ENGINE #3, 4",INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105456,#4 INTAKE GASKET LEAKS.,Ok,#4,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105457,BAFFLE CRACKED BY #2 CYLINDER ON R/H ENGINE.,Ok,#2 CYLINDER ON R/H ENGINE,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
105458,"#2, 3, 4 INTAKE GASKETS LEAKING ON L/H ENGINE.",Ok,"#2, 3, 4 L/H ENGINE",INTAKE GASKET,LEAKING,REMOVED & REPLACED WITH NEW GASKETS.,,WITH NEW GASKETS,,,REMOVED & REPLACED,
105459,WORN SPOTS ON BLK SEAL IN LWR FRONT BAFFLING.,Ok,LWR FRONT,BAFFLE BLACK SEAL,WORN,INSTALLED RTV TO SPOTS.,,,,RTV,INSTALLED,
105460,#2 INTAKE GASKET IS LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
105461,#3 CYLINDER FAILED COMPRESSION.,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,OPS & LEAK CHECK GOOD.,,,,OPS & LEAK,CHECKED,
105462,BOTH BAFFLE PLUGS DAMAGED.,Ok,BOTH,BAFFLE PLUG,DAMAGED,REMOVED & REPLACED BAFFLE PLUGS.,,,,BAFFLE PLUG,REMOVED & REPLACED,
105463,#3 CYLINDER FAILED COMPRESSION.,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,"REMOVED BAFFLING, WIRES & EXHAUST FOR ACCESS. REMOVED &",,,,BAFFLING & WIRES & EXHAUST,REMOVED,
105464,#3 CYLINDER FAILED COMPRESSION.,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,"REINSTALLED BAFFLE, WIRES, MUFFLER & LINES. COMPLETED R",,,,BAFFLE 7 WIRES & MUFFLER & LINE,REINSTALLED,
105465,CYLINDER #4 ROCKER COVER GASKET REQUIRES REPLACEMENT.,Ok,CYLINDER #4,ROCKER COVER GASKET,NEED REPLACEMENT,REMOVED & REPLACED GASKET WITH NEW.,,WITH NEW,,GASKET,REMOVED & REPLACED,
105466,L/H ENGINE #4 ROCKER GASKET LEAKING.,Ok,L/H ENGINE #4,ROCKER GASKET,LEAKING,REMOVED & REPLACED ROCKER COVER.,,,,ROCKER COVER,REMOVED & REPLACED,
105467,#3 CYLINDER INTAKE GASKET LEAKING ON L/H ENGINE.,Ok,L/H ENGINE #3 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105468,CLICKING NOISE NOTICED DURING INITIAL CLIMB & THROUGHOUT RES,OK,,,NOISE,"INSPECTED ENGINE & CABIN AREA, NO DEFECTS NOTED.",,,,ENGINE & CABIN AREA,INSPECTED,
105469,PROP OVERSPEED; RPM ABOUT 2850 WITH PROP CONT AT HIGH RPM IN L,Ok,,PROP,OVERSPEED,BEGAN INSP IAW LYCOMING ; ALL COMPRESSIONS 74 +,,,,IAW LYCOMING & COMPRESSION,INSPECTED,
105470,PROP OVERSPEED; RPM ABOUT 2850 WITH PROP CONT AT HIGH RPM IN L,Ok,,PROP,OVERSPEED,COMPLETED INSP IAW LYCOMING . GOVERNOR WAS FOUND,,,,IAW LYCOMING,INSPECTED,
105471,PROP OVERSPEED; RPM ABOUT 2850 WITH PROP CONT AT HIGH RPM IN L,Ok,,PROP,OVERSPEED,REINSTALLED OVERHAULED PROP GOVERNOR,,,OVERHAULED,OVERHAULED  PROP GOVERNOR,REINSTALLED,
105472,BAFFLE PLUG MISSING.,Ok,,BAFFLE PLUG,MISSING,INSTALLED PLUG.,,,,PLUG,INSTALLED,
105473,CENTER COWLING INLET TUBE NEED REPLACEMENT.,OK,CENTER,COWLING INLET TUBE,NEED REPLACEMENT,AFTER FURTHER INSP; NO DEFECTS NOTED.,,,,,INSPECTED,
105474,#2 ROCKER COVER GASKET LEAKING.,Ok,#2,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105475,FOD ON TOP OF ENGINE,Ok,TOP OF ENGINE,,FOREIGN OBJECT DAMAGED,REMOVED FOD,,,,FOD,REMOVED,
105476,ENGINE QUIT.,Ok,ENGINE,,QUIT,RAN UP A/C. ENGINE STARTED USING NORMAL PROCEDURES. PER,,,,A/C,RAN,
105477,BOTH BAFFLE PLUGS DAMAGED.,Ok,BOTH,BAFFLE PLUG,DAMAGED,REMOVED & REPLACED BAFFLE PLUGS.,,,,BAFFLE PLUG,REMOVED & REPLACED,
105478,A/C ENGINE WOULD SHUT DOWN WHEN LEANING MIXTURE ON THE GROUN,Ok,ENGINE,A/C,SHUT DOWN,"PERFORMED GROUND RUN, VERIFIED WITH ENGINE @ 40*F CHT & O",,,,"GROUND, ENGINE","RAN , VERIFIED",
105479,#2 CYLINDER INTAKE LEAKING.,Ok,#2 CYLINDER,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105480,#1 & 3 INTAKES LEAKING.,Ok,#1 & 3,INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105481,R/H REAR ENGINE BAFFLE MOUNTING SCREW MISSING.,Ok,R/H REAR ENGINE,BAFFLE MOUNTING SCREW,MISSING,REINSTALLED REAR BAFFLE SCREW.,,,,BAFFLE SCREW,REINSTALLED,
105482,"ROUGH OPERATION AFTER START UP, ENGINE WANTS TO DIE AT 1000",Ok,ENGINE,,RUN ROUGH,"PERFORMED GROUND RUN, OPS CK'ED GOOD.",,,,"GROUND RUN, OPS","RAN , CHECKED",
105483,#2 CYLINDER HAS LOW COMPRESSION.,Ok,#2 CYLINDER,,COMPRESSION PROBLEM,REMOVED BAFFLING & COMPONENTS FROM #2 CYLINDER. REMOVED CYLINDER,,,,BAFFLING & COMPONENTS & CYLINDER,REMOVED,
105484,#2 CYLINDER HAS LOW COMPRESSION.,Ok,#2 CYLINDER,,COMPRESSION PROBLEM,"INSTALLED INNER COOLING BAFFLE ON CYLINDER #1, 3. INSTALLED",,,,COOLING BAFFLE,INSTALLED,
105485,#2 CYLINDER HAS LOW COMPRESSION.,Ok,#2 CYLINDER,,COMPRESSION PROBLEM,"INSTALLED & TORQUED INJECTOR & LINE, EXHAUST STACK & IN",,,,INJECTOR & LINE & EXHAUST STACK & IN,INSTALLED & TORQUED,
105486,#2 CYLINDER HAS LOW COMPRESSION.,Ok,#2 CYLINDER,,COMPRESSION PROBLEM,"INSTALLED #1 CYLINDER SIDE BAFFLE, #2 CYLINDER FORWARD & SIDE BAFFLES",,,,CYLINDER BAFFLE,INSTALLED,
105487,#1 ROCKER COVER IS LEAKING.,Ok,#1,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105488,#1 & 4 INTAKE GASKETS LEAKING.,Ok,#1 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105489,"R/H AFT I/B BAFFLE SCREW MISSING, BY DIPSTICK.",Ok,R/H AFT I/B,BAFFLE SCREW,MISSING,REMOVED OIL COOLER FROM ENGINE BAFFLE. INSTALLED SCREW.,,,,"OIL COOLER, SCREW","REMOVED, INSTALLED",
105490,#3 ROCKER COVER LEAKS.,Ok,#3,ROCKER COVER,LEAKING,INSTALLED GASKET.,,,,GASKET,INSTALLED,
105491,#3 CYLINDER HAS LOW COMPRESSION (40/80).,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,LEAK & RUN UP CHECK GOOD.,,,,LEAK & RAN,CHECKED,
105492,#3 CYLINDER HAS LOW COMPRESSION (40/80).,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,STARTED REMOVING BAFFLING.,,,,BAFFLING,REMOVED,
105493,#3 CYLINDER HAS LOW COMPRESSION (40/80).,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,INSTALLED CYLINDER BAFFLES & ALL NECESSARY PARTS. C/W AD E 2,,,,BAFFLE & NECESSARY PARTS C/W AD E 2,INSTALLED,
105494,#3 CYLINDER HAS LOW COMPRESSION (40/80).,Ok,#3 CYLINDER,,COMPRESSION PROBLEM,"REMOVED CYLINDER, FITTED NEW INTAKE VALVE, LAPPED BOTH VALVE",,,NEW,"CYLINDER, INTAKE VALVE, VALVE","REMOVED, FITTED NEW, LAPPED",
105495,BOTH BAFFLE PLUGS DAMAGED.,Ok,BOTH,BAFFLE PLUG,DAMAGED,REMOVED & REPLACED BAFFLE PLUGS.,,,,BAFFLE PLUG,REMOVED & REPLACED,
105496,"BAFFLE SCREW, BEHIND DIPSTICK, LOOSE.",Ok,BEHIND DIPSTICK,BAFFLE SCREW,LOOSE,TIGHTENED SCREW.,,,,SCREW,TIGHTENED,
105497,EXPERIENCED MOMENTARY LOSS OF POWER.,Ok,,,POWER LOSS,"PERFORMED MAINT HISTORY, INSPECTED FUEL SERVO. TEST RAN",,,,"MAINT HISTORY, FUEL SERVO, RAN","PERFORMED, INSPECTED, TESTED",
105498,ALL INTAKE GASKETS NEED TO BE REPLACED.,Ok,ALL,INTAKE GASKET,NEED REPLACEMENT,REMOVED & REPLACED ALL INTAKE GASKETS & SEALS.,,,,"INTAKE GASKET, SEAL",REMOVED & REPLACED,
105499,#1 & 2 CYLINDER INTAKE GASKETS LEAK.,Ok,#1 & 2 CYLINDER,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105500,BAFFLE SEAL ABOVE  CYLINDER 1 & 4 LOOSE.,Ok,ABOVE  CYLINDER 1 & 4,BAFFLE SEAL,LOOSE,RESECURED BAFFLE SEALS.,,,,BAFFLE SEAL,RESECURED,
105501,R/H ENGINE BAFFLE PLUG DAMAGED.,Ok,R/H ENGINE,BAFFLE PLUG,DAMAGED,"REPAIRED BAFFLE IAW SRM, REPLACED BAFFLE PLUGS.",,,,"BAFFLE IAW SRM , BAFFLE PLUG","REPAIRED, REPLACED",
105502,R/H ENGINE CYLINDER #3 IS CRACKED.,Ok,R/H ENGINE CYLINDER #3,,CRACKED,COMPLETED INSTALLATION. OPS & LEAK CHECK GOOD.,,,,OPS & LEAK,"INSTALLED , CHECKED",
105503,R/H ENGINE CYLINDER #3 IS CRACKED.,Ok,R/H ENGINE CYLINDER #3,,CRACKED,REMOVED & REPLACED CYLINDER WITH REBUILT ASSEMBLY. TORQUED ALL BAS,,WITH REBUILT ASSEMBLY,,"CYLINDER , BAS","REMOVED & REPLACED, TORQUED",
105504,#3 INTAKE LEAKING.,Ok,#3,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105505,#2 INTAKE GASKET LEAKS.,Ok,#2,INTAKE GASKET,LEAKING,REPLACED WITH NEW GASKET.,,WITH NEW GASKET,,,REPLACED,
105506,"WHEN UNDER POWER, DURING CLIMB & WHILE CRUISING, ENGINE WAS",DIFFICULT,,,,"RAN A/C, COULD NOT DUPLICATE DISCREP. ALL SYSTEMS W/IN",,,,A/C,RAN,COULD NOT DUPLICATE DISCREP.
105507,HARDWARE MISSING FROM #2 CYLINDER BAFFLE.,Ok,#2 CYLINDER,BAFFLE HARDWARE,MISSING,INSTALLED NEW HARDWARE.,,,NEW,HARDWARE,INSTALLED,
105508,"#2, 3 ROCKER COVER GASKETS LEAK.",Ok,"#2, 3",ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105509,L/H BAFFLE PLUG HOLE IS WALLARD OUT.,Ok,L/H,BAFFLE PLUG HOLE,WALLARD OUT,INSTALLED DOUBLER ON L/H BAFFLE PLUG HOLE.,,,,DOUBLER,INSTALLED,
105510,#4 INTAKE GASKET IS LEAKING.,Ok,#4,INTAKE GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
105511,ALL INTAKE TUBE GASKETS LEAKING.,Ok,ALL,INTAKE TUBE GASKET,LEAKING,"REMOVED ALL INTAKE GASKETS, REPLACED WITH NEW.",,WITH NEW,,INTAKE GASKET,REMOVED & REPLACED,
105512,RIVETS PULLED THRU AT AFT BAFFLE CENTER.,Ok,AFT CENTER,BAFFLE RIVET,PULLED,DRILLED OUT RIVETS & REPLACED WITH SCREWS & LOCK NUTS.,,WITH SCREWS & LOCK NUTS,,RIVET,DRILLED & REPLACED,
105513,INTAKES 3 & 4 LEAKING ON L/H ENGINE.,Ok,3 & 4 L/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105514,L/H ENGINE #E CYLINDER BAFFLING CRACKED.,Ok,L/H ENGINE #E CYLINDER,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
105515,#2 INTAKE LEAKING ON L/H ENGINE.,Ok,#2 L/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED WITH NEW GASKET.,,WITH NEW GASKET,,,REMOVED & REPLACED,
105516,#2 INTAKE ON R/H ENGINE LEAKING.,Ok,#2 INTAKE ON R/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED WITH NEW GASKET.,,WITH NEW GASKET,,,REMOVED & REPLACED,
105517,SMALL CRACK ON L/H LWR FORWARD SIDE OF FORWARD BAFFLE.,Ok,L/H LWR FORWARD SIDE OF FORWARD,BAFFLE,CRACKED,STOP DRILLED END OF CRACK.,,,,DRILLED CRACK,STOP,
105518,#3 INTAKE ON R/H ENGINE LEAKING.,Ok,#3 INTAKE ON R/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED GASKET,,,,GASKET,REMOVED & REPLACED,
105519,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",Ok,"2, 3 & 4 L/H ENGINE",INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105520,GROUNDING STRAP BOLT LOOSE ON ENGINE.,Ok,ENGINE,GROUNDING STRAP BOLT,LOOSE,TIGHTENED BOLT.,,,,BOLT,TIGHTENED,
105521,#4 INTAKE GASKET LEAKS.,Ok,#4,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105522,HARDWARE MISSING FROM AFT R/H BAFFLE.,Ok,AFT R/H,BAFFLE HARDWARE,MISSING,INSTALLED NEW HARDWARE.,,,NEW,HARDWARE,INSTALLED,
105523,1 BAFFLE PLUG DAMAGED.,Ok,1,BAFFLE PLUG,DAMAGED,REMOVED & REPLACED BAFFLE PLUG.,,,,BAFFLE PLUG,REMOVED & REPLACED,
105524,L/H #2 & 4 INTAKE TUBE GASKETS LEAKING.,Ok,L/H #2 & 4,INTAKE TUBE GASKET,LEAKING,INSTALLED NEW GASKETS.,,,NEW,GASKET,INSTALLED,
105525,R/H ENGINE LEFT AFT BAFFLE SEAL IS LOOSE.,Ok,R/H ENGINE LEFT AFT,BAFFLE SEAL,LOOSE,RESECURED BAFFLE SEAL.,,,,BAFFLE SEAL,RESECURED,
105526,R/H ENGINE STILL HAS PRESERVATIVE OIL ON CYLINDER #3 INTAKE PIPES,Ok,R/H ENGINE CYLINDER #3,INTAKE PIPES,PRESERVATIVE OIL,"CLEANED ENGINE. RAN UP A/C, NO DEFECTS NOTED.",,,,"ENGINE, A/C","CLEANED, RAN",
105527,R/H ENGINE #2 INTAKE GASKET LEAKING.,Ok,R/H ENGINE #2,INTAKE GASKET,LEAKING,REPLACED GASKET.,,,,GASKET,REPLACED,
105528,"1, 2, 4 CYLINDER ROCKER COVERS LEAKING.",Ok,"1, 2, 4 CYLINDER",ROCKER COVER,LEAKING,REMOVED ROCKER COVERS & CLEANED OLD GASKET OFF. REPLACE,,OLD,,"ROCKER COVER, GASKET","REMOVED, CLEANED, REPLACE",
105529,HARDWARE MISSING FROM #3 BAFFLE.,Ok,#3,BAFFLE HARDWARE,MISSING,INSTALLED NEW HARDWARE.,,,NEW,HARDWARE,INSTALLED,
105530,#1 & 3 ROCKER COVERS LEAKING.,Ok,#1 & 3,ROCKER COVER,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105531,L/H ENGINE #4 INTAKE LEAKS.,Ok,L/H ENGINE #4,INTAKE,LEAKING,PREVIOUSLY C/W ON PD #12.,DIFFICULT,,,,,
105532,L/H ENGINE #2 & 4 INTAKE GASKETS LEAKING.,Ok,L/H ENGINE #2 & 4,INTAKE GASKET,LEAKING,REPLACED GASKETS.,,,,GASKET,REPLACED,
105533,R/H ENGINE #2 & 4 INTAKE GASKETS LEAKING.,Ok,R/H ENGINE #2 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED WITH NEW GASKETS.,,WITH NEW GASKET,,,REMOVED & REPLACED,
105534,ENGINE LEAKING FROM LIFTING EYE.,Ok,ENGINE,,LEAKING,LEAK CHECK GOOD.,,,,LEAK,CHECKED,
105535,#2 CYLINDER BAFFLE NEED BARREL NUT.,Ok,#2 CYLINDER,BAFFLE,NEED BARREL NUT,INSTALLED NEW BARREL NUT & SCREW.,,,NEW,BARREL NUT & SCREW,INSTALLED,
105536,ENGINE LEAKING FROM LIFTING EYE.,Ok,ENGINE,,LEAKING,"CLEANED ENGINE, SEALED LIFTING EYE BOLT.",,,,"ENGINE, LIFTING EYE BOLT","CLEANED, SEALED",
105537,ROUGH CHOPPING NOISE COMING FROM ENGINE ON APPLICATION OF FU,Ok,ENGINE,,NOISE,RAN A/C & CONFIRMED DISCREP. REMOVED COWLING & INSPECTE,,,,"A/C, DISCREP, COWLING","RAN & CONFIRMED, REMOVED , INSPECTE",
105538,ROUGH CHOPPING NOISE COMING FROM ENGINE ON APPLICATION OF FU,Ok,ENGINE,,NOISE,"MEASURED RING GAPS & INSTALLED, TORQUED CYLINDER HOLD DOWNS.",,,,"RING GAPS, CYLINDER HOLD DOWNS","MEASURED & INSTALLED, TORQUED",
105539,ROUGH CHOPPING NOISE COMING FROM ENGINE ON APPLICATION OF FU,Ok,ENGINE,,NOISE,REASSEMBLED ATTACHING PARTS TO #2 CYLINDER FORWARD BAFFLING. RAN,,,,ATTACHING PARTS,"REASSEMBLED, RAN",
105540,#4 AFT BAFFLE MISSING SCREW.,Ok,#4 AFT,BAFFLE SCREW,MISSING,REINSTALLED SCREW.,,,,SCREW,REINSTALLED,
105541,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105542,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,PREPPED & PAINTED ENGINE.,,,,ENGINE,PREPPED & PAINTED,
105543,#3 SIDE BAFFLE TAB RIVETS LOOSE.,Ok,#3 SIDE,BAFFLE TAB RIVET,LOOSE,REPLACED RIVETS WITH MACHINE SCREWS & LOCK NUTS.,,WITH MACHINE SCREW & LOCK NUT,,RIVET,REPLACED,
105544,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,MOUNTED ENGINE & TORQUED. STARTED ENGINE INSTALLATION.,,,,ENGINE,MOUNTED & TORQUED & INSTALLED,
105545,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,INSTALLED ACCESSORY CASE & OIL SCREEN HOUSING. INSTALLE,,,,ACCESSORY CASE & OIL SCREEN HOUSING,INSTALLED,
105546,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,"MEASURED RODS, CASE & CRANK. BEARING CLEARANCE CHECK GOOD,",,,,"RODS & CASE & CRANK, BEARING CLEARANCE","MEASURED, CHECKED",
105547,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,"RIGGED ENGINE CONTROLS, FINISHED BAFFLING ENGINE, INSTA",,,,"ENGINE CONTROLS, ENGINE","RIGGED, BAFFLING, INSTALLED",
105548,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,"INSTALLED CRANKSHAFT SEAL, ROUTED WIRING, INSTALLED SKA",,,,"CRANKSHAFT SEAL, WIRING, SKA","INSTALLED, ROUTED, INSTALLED",
105549,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,"RAN A/C, OPS & LEAK CHECK GOOD. FOR BREAK",,,,"A/C, OPS & LEAK",RAN &  CHECKED,
105550,ENGINE REQUIRES OVERHAUL.,Ok,ENGINE,,NEED OVERHAUL,UNMASKED & CLEANED PARTS. INSTALLED NEW  CYLINDER ON EN,,,NEW,"PARTS,  CYLINDER","UNMASKED & CLEANED, INSTALLED",
105551,R/H BOTTOM BAFFLE TIE WIRE HOLE ELONGATED.,Ok,R/H BOTTOM,BAFFLE TIE WIRE HOLE,ELONGATED,REPOSITIONED HOLE & INSTALLED NEW WIRE TIE.,,,NEW,"HOLE, WIRE TIE","REPOSITIONED , INSTALLED",
105552,SCREW MISSING ON #3 CYLINDER BAFFLING.,Ok,#3 CYLINDER,BAFFLE SCREW,MISSING,INSTALLED SCREW.,,,,SCREW,INSTALLED,
105553,"R/H ENGINE SPUTTERING @ 1700 RPM, AS INCREASED THROTTLE RPM",Ok,R/H ENGINE,,RPM PROBLEM,OPS & LEAK CK'ED GOOD.,,,,"OPS, LEAK",CHECKED,
105554,"R/H ENGINE SPUTTERING @ 1700 RPM, AS INCREASED THROTTLE RPM",Ok,R/H ENGINE,,RPM PROBLEM,"RAN A/C, CONFIRMED DISCREP. REMOVED COWL, R/H ENGINE IN",,,,"A/C, DISCREP, COWL, ENGINE","RAN, CONFIRMED, REMOVED",
105555,"R/H ENGINE SPUTTERING @ 1700 RPM, AS INCREASED THROTTLE RPM",Ok,R/H ENGINE,,RPM PROBLEM,"RAN ENGINE, PROBLEM STILL THERE. REPLACED L/H MAGNET ON PD",,,,"ENGINE, MAGNET","RAN, REPLACED",
105556,"DURING FLIGHT, EXCEEDED PROP SPEED LIMITATIONS (2720 RPM).",OK,,PROP,OVERSPEED,"INSPECTED IAW LYCOMING , VERIFIED TO BE LESS THA",,,,IAW LYCOMING,INSPECTED & VERIFIED,VERIFIED TO BE LESS THA
105557,"L/H ENGINE #3, 4 CYLINDER INTAKES LEAKING.",Ok,"L/H ENGINE #3, 4 CYLINDER",INTAKE,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
105558,R/H FORWARD BAFFLE SEAL IS LOOSE.,Ok,R/H FORWARD,BAFFLE SEAL,LOOSE,RESECURED SEAL.,,,,SEAL,RESECURED,
105559,#2 & 4 INTAKES LEAKING ON R/H ENGINE.,Ok,#2 & 4 R/H ENGINE,INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105560,"2, 3, & 4 INTAKES LEAKING ON L/H ENGINE.",Ok,"2, 3, & 4 L/H ENGINE",INTAKE,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105561,L/H FORWARD ENGINE BAFFLE WORN & CRACKED.,Ok,L/H FORWARD ENGINE,BAFFLE,WORN & CRACKED,INSTALLED NEW L/H FORWARD ENGINE BAFFLE.,,,NEW,BAFFLE,INSTALLED,
105562,"ENGINE OVERSPEED, 2740 RPM.",Ok,ENGINE,,OVERSPEED,INSPECTED AS REQUIRED BY LYCOMING FOR LESS THAN,,,,,INSPECTED,
105563,PILOT REPORTED PROP OVERSPEED OF 20 RPM FOR A FEW SECONDS.,Ok,,PROP,OVERSPEED,AS PER ON OVERSPEED CONSIDERED TO BE LESS THAN,,,,OVERSPEED,INSPECTED,OVERSPEED CONSIDERED TO BE LESS THAN
105564,BOTH BOLTS LOOSE FOR GROUNDING STRAP FOR ENGINE.,Ok,BOTH,GROUNDING STRAP BOLT,LOOSE,TIGHTENED BOTH BOLTS.,,,,BOLT,TIGHTENED,
105565,#3 INTAKE GASKET LEAKING.,Ok,#3,INTAKE GASKET,LEAKING,REMOVED & REPLACED WITH NEW GASKET.,,WITH NEW GASKET,,,REMOVED & REPLACED,
105566,"#1, 2, 3 & 4 INTAKE GASKETS ARE LEAKING.",Ok,"#1, 2, 3 & 4",INTAKE GASKET,LEAKING,REPLACED GASKETS.,,,,GASKET,REPLACED,
105567,#2 INTAKE GASKET LEAKING.,Ok,#2,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKE.,,,,GASKET,REMOVED & REPLACED,
105568,INTAKES #2 & 4 LEAKING ON L/H ENGINE.,Ok,L/H ENGINE #2 & 4,INTAKE,LEAKING,REPLACED GASKETS.,,,,GASKET,REPLACED,
105569,INTAKE #3 LEAKING ON R/H ENGINE.,Ok,R/H ENGINE #3,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
105570,R/H ENGINE #3 & 4 INTAKE GASKETS LEAKING.,Ok,R/H ENGINE #3 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
105571,L/H ENGINE CYLINDER #2 & 4 INTAKE GASKETS ARE LEAKING.,Ok,L/H ENGINE CYLINDER #2 & 4,INTAKE GASKET,LEAKING,REMOVED & REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REMOVED & REPLACED,
105572,"#1, 3 INTAKE GASKETS LEAKING.",Ok,"#1, 3",INTAKE GASKET,LEAKING,REPLACED INTAKE GASKETS.,,,,INTAKE GASKET,REPLACED,
105573,ROCKER COVER SCREW MISSING ON #3 CYLINDER.,Ok,#3 CYLINDER,ROCKER COVER SCREW,MISSING,INSTALLED NEW SCREW.,,,NEW,SCREW,INSTALLED,
105574,INDUCTION ELBOW DRAIN TUBE REQUIRES REPOSITIONING.,Ok,INDUCTION ELBOW,DRAIN TUBE,NEED REPOSITIONING,REPOSITIONED DRAIN TUBE.,,,,DRAIN TUBE,REPOSITIONED,
105575,R/H ENGINE #4 INTAKE GASKET LEAKING.,Ok,R/H ENGINE #4,INTAKE GASKET,LEAKING,REMOVED & REPLACED WITH NEW GASKET.,,WITH NEW GASKET,,,REMOVED & REPLACED,
105576,#2 & 3 INTAKES LEAKING ON L/H ENGINE.,Ok,L/H ENGINE #2 & 3,INTAKE,LEAKING,REPLACED GASKETS.,,,,GASKET,REPLACED,
105577,#3 & 4 INTAKES LEAKING ON R/H ENGINE.,Ok,#3 & 4 R/H ENGINE,INTAKE,LEAKING,REPLACED GASKETS.,,,,GASKET,REPLACED,
105578,"STARTED ENGINE. ON START ENGINE ROUGHNESS, ENGINE CONTINUED",OK,ENGINE,,RUN ROUGH,"PERFORMED GROUND RUN, AFTER ENGINE WARMED TO OR NEAR TO",,,,GROUND,RAN,
